date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:40:19	86852/86852	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20May%202021%2000:34:10%20GMT	https://doctoralvaropoma.com/	C:/My%20Web%20Sites/test/doctoralvaropoma.com/index.html	(from )
22:40:21	121/121	---M--	200	added ('OK')	text/plain	date:Thu,%2013%20May%202021%2003:40:20%20GMT	https://doctoralvaropoma.com/robots.txt		(from )
22:40:23	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2013%20May%202021%2003:40:22%20GMT	https://doctoralvaropoma.com/xmlrpc.php	C:/My%20Web%20Sites/test/doctoralvaropoma.com/xmlrpc.php	(from https://doctoralvaropoma.com/)
22:40:23	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/logo/favicon.ico	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/logo/favicon.ico	(from https://doctoralvaropoma.com/)
22:40:23	2171/2171	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon.png	(from https://doctoralvaropoma.com/)
22:40:24	3626/3626	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	(from https://doctoralvaropoma.com/)
22:40:24	2575/2575	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	(from https://doctoralvaropoma.com/)
22:40:24	4514/4514	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Nov%202020%2000:42:03%20GMT	http://doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	(from https://doctoralvaropoma.com/)
22:40:26	172392/172392	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:21%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/jprauhnq/dj6ax.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/jprauhnq/dj6ax.css	(from https://doctoralvaropoma.com/)
22:40:27	11134/11134	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:21%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/1s4ot7pg/dj6ax.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/1s4ot7pg/dj6ax.css	(from https://doctoralvaropoma.com/)
22:40:28	151432/151432	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Nov%202020%2007:30:21%20GMT	http://doctoralvaropoma.com/wp-content/cache/wpfc-minified/fqzi3648/dj6ax.css	C:/My%20Web%20Sites/test/doctoralvaropoma.com/wp-content/cache/wpfc-minified/fqzi3648/dj6ax.css	(from https://doctoralvaropoma.com/)
